|partida|mandante|placar_mandante|visitante|placar_visitante|data_hora|Rodada
0|Internacional x Vitória|INT||VIT||2025-07-12T16:30|13ª RODADA
1|Bahia x Atlético-MG|BAH||CAM||2025-07-12T21:00|13ª RODADA
2|Corinthians x Bragantino|COR||RBB||2025-07-13T19:00|13ª RODADA
3|Cruzeiro x Grêmio|CRU||GRE||2025-07-13T20:30|13ª RODADA
4|Fortaleza x Ceará|FOR||CEA||2025-07-13T20:30|13ª RODADA
5|Juventude x Sport|JUV||SPT||2025-07-14T20:00|13ª RODADA
6|Flamengo x São Paulo|FLA||SAO||Data não definida|13ª RODADA
7|Vasco x Botafogo|VAS||BOT||Data não definida|13ª RODADA
8|Santos x Palmeiras|SAN||PAL||Data não definida|13ª RODADA
9|Mirassol x Fluminense|MIR||FLU||Data não definida|13ª RODADA
10|Bragantino x Bahia|RBB|0|BAH|3|2025-06-12T19:00|12ª RODADA
11|Vitória x Cruzeiro|VIT|0|CRU|0|2025-06-12T19:00|12ª RODADA
12|Fortaleza x Santos|FOR|2|SAN|3|2025-06-12T19:30|12ª RODADA
13|Grêmio x Corinthians|GRE|1|COR|1|2025-06-12T20:00|12ª RODADA
14|São Paulo x Vasco|SAO|1|VAS|3|2025-06-12T21:30|12ª RODADA
15|Atlético-MG x Internacional|CAM|2|INT|0|2025-06-12T21:30|12ª RODADA
16|Fluminense x Ceará|FLU||CEA||Data não definida|12ª RODADA
17|Botafogo x Mirassol|BOT||MIR||Data não definida|12ª RODADA
18|Palmeiras x Juventude|PAL||JUV||Data não definida|12ª RODADA
19|Sport x Flamengo|SPT||FLA||Data não definida|12ª RODADA
20|Bahia x São Paulo|BAH|2|SAO|1|2025-05-31T18:30|11ª RODADA
21|Vasco x Bragantino|VAS|0|RBB|2|2025-05-31T21:00|11ª RODADA
22|Mirassol x Sport|MIR|1|SPT|0|2025-06-01T11:00|11ª RODADA
23|Santos x Botafogo|SAN|0|BOT|1|2025-06-01T16:00|11ª RODADA
24|Juventude x Grêmio|JUV|0|GRE|2|2025-06-01T16:00|11ª RODADA
25|Flamengo x Fortaleza|FLA|5|FOR|0|2025-06-01T18:30|11ª RODADA
26|Corinthians x Vitória|COR|0|VIT|0|2025-06-01T18:30|11ª RODADA
27|Ceará x Atlético-MG|CEA|0|CAM|1|2025-06-01T18:30|11ª RODADA
28|Cruzeiro x Palmeiras|CRU|2|PAL|1|2025-06-01T19:30|11ª RODADA
29|Internacional x Fluminense|INT|0|FLU|2|2025-06-01T20:30|11ª RODADA
30|Fluminense x Vasco|FLU|2|VAS|1|2025-05-24T18:30|10ª RODADA
31|São Paulo x Mirassol|SAO|0|MIR|2|2025-05-24T18:30|10ª RODADA
32|Atlético-MG x Corinthians|CAM|0|COR|0|2025-05-24T21:00|10ª RODADA
33|Grêmio x Bahia|GRE|1|BAH|0|2025-05-25T11:00|10ª RODADA
34|Palmeiras x Flamengo|PAL|0|FLA|2|2025-05-25T16:00|10ª RODADA
35|Sport x Internacional|SPT|1|INT|1|2025-05-25T16:00|10ª RODADA
36|Vitória x Santos|VIT|0|SAN|1|2025-05-25T18:30|10ª RODADA
37|Fortaleza x Cruzeiro|FOR|0|CRU|2|2025-05-25T20:30|10ª RODADA
38|Bragantino x Juventude|RBB|1|JUV|0|2025-05-26T20:00|10ª RODADA
39|Botafogo x Ceará|BOT|3|CEA|2|2025-06-04T20:00|10ª RODADA
40|Ceará x Sport|CEA|2|SPT|0|2025-05-17T16:00|9ª RODADA
41|Vasco x Fortaleza|VAS|3|FOR|0|2025-05-17T18:30|9ª RODADA
42|São Paulo x Grêmio|SAO|2|GRE|1|2025-05-17T21:00|9ª RODADA
43|Corinthians x Santos|COR|1|SAN|0|2025-05-18T16:00|9ª RODADA
44|Bahia x Vitória|BAH|2|VIT|1|2025-05-18T16:00|9ª RODADA
45|Juventude x Fluminense|JUV|1|FLU|1|2025-05-18T16:00|9ª RODADA
46|Flamengo x Botafogo|FLA|0|BOT|0|2025-05-18T18:30|9ª RODADA
47|Bragantino x Palmeiras|RBB|1|PAL|2|2025-05-18T18:30|9ª RODADA
48|Cruzeiro x Atlético-MG|CRU|0|CAM|0|2025-05-18T20:30|9ª RODADA
49|Internacional x Mirassol|INT|1|MIR|1|2025-05-18T20:30|9ª RODADA
50|Fortaleza x Juventude|FOR|5|JUV|0|2025-05-10T16:00|8ª RODADA
51|Mirassol x Corinthians|MIR|2|COR|1|2025-05-10T18:30|8ª RODADA
52|Grêmio x Bragantino|GRE|1|RBB|1|2025-05-10T18:30|8ª RODADA
