|partida|mandante|placar_mandante|visitante|placar_visitante|data_hora|Rodada
0|Náutico x Floresta|NAU||FLO||2025-07-05T17:00|11ª RODADA
1|Ituano x Retrô|ITU||RET||2025-07-05T17:00|11ª RODADA
2|Confiança x ABC|CON||ABC||2025-07-05T19:30|11ª RODADA
3|CSA x Caxias|CSA||CAX||2025-07-05T19:30|11ª RODADA
4|Anápolis x Itabaiana|AFC||ITA||2025-07-06T16:30|11ª RODADA
5|Londrina x Guarani|LEC||GUA||2025-07-06T16:30|11ª RODADA
6|Ypiranga-RS x Maringá|YPI||MAR||2025-07-06T19:00|11ª RODADA
7|Brusque x Figueirense|BRU||FIG||2025-07-06T19:00|11ª RODADA
8|Ponte Preta x Tombense|PON||TOM||2025-07-07T19:30|11ª RODADA
9|Botafogo-PB x São Bernardo|BOT||SBD||2025-07-07T19:30|11ª RODADA
10|Retrô x Londrina|RET|0|LEC|4|2025-06-28T17:00|10ª RODADA
11|Guarani x CSA|GUA|1|CSA|0|2025-06-28T17:00|10ª RODADA
12|São Bernardo x Anápolis|SBD|3|AFC|0|2025-06-28T19:30|10ª RODADA
13|Maringá x Ponte Preta|MAR|0|PON|1|2025-06-28T19:30|10ª RODADA
14|Figueirense x Confiança|FIG|1|CON|1|2025-06-29T16:30|10ª RODADA
15|ABC x Ypiranga-RS|ABC|0|YPI|3|2025-06-29T16:30|10ª RODADA
16|Tombense x Náutico|TOM|0|NAU|2|2025-06-29T19:00|10ª RODADA
17|Caxias x Ituano|CAX|2|ITU|1|2025-06-29T19:00|10ª RODADA
18|Floresta x Brusque|FLO|2|BRU|1|2025-06-30T16:00|10ª RODADA
19|Itabaiana x Botafogo-PB|ITA|1|BOT|0|2025-06-30T19:30|10ª RODADA
20|Ponte Preta x ABC|PON|0|ABC|0|2025-06-14T17:00|9ª RODADA
21|Ituano x São Bernardo|ITU|1|SBD|1|2025-06-14T17:00|9ª RODADA
22|Anápolis x Retrô|AFC|0|RET|0|2025-06-14T19:30|9ª RODADA
23|Botafogo-PB x Caxias|BOT|1|CAX|2|2025-06-14T19:30|9ª RODADA
24|Londrina x Figueirense|LEC|2|FIG|1|2025-06-15T16:30|9ª RODADA
25|Brusque x Tombense|BRU|0|TOM|0|2025-06-15T16:30|9ª RODADA
26|Guarani x Itabaiana|GUA|2|ITA|1|2025-06-15T19:00|9ª RODADA
27|Ypiranga-RS x Confiança|YPI|1|CON|0|2025-06-15T19:00|9ª RODADA
28|Náutico x Maringá|NAU|2|MAR|1|2025-06-16T19:30|9ª RODADA
29|CSA x Floresta|CSA|2|FLO|0|2025-06-16T19:30|9ª RODADA
30|Retrô x Guarani|RET|0|GUA|2|2025-05-31T17:00|8ª RODADA
31|ABC x Náutico|ABC|0|NAU|0|2025-05-31T17:00|8ª RODADA
32|Caxias x Londrina|CAX|4|LEC|2|2025-05-31T19:30|8ª RODADA
33|Floresta x Itabaiana|FLO|1|ITA|0|2025-05-31T19:30|8ª RODADA
