|partida|mandante|placar_mandante|visitante|placar_visitante|data_hora|Rodada
0|Vila Nova x América-MG|VNO|0|AME|3|2025-06-13T19:00|12ª RODADA
1|Paysandu x Botafogo-SP|PAY|1|BSP|0|2025-06-13T21:35|12ª RODADA
2|CRB x Goiás|CRB|2|GOI|0|2025-06-14T16:00|12ª RODADA
3|Athletico-PR x Remo|CAP|2|REM|1|2025-06-14T18:30|12ª RODADA
4|Athletic Club x Operário-PR|ATH|2|OPE|1|2025-06-14T20:30|12ª RODADA
5|Atlético-GO x Coritiba|ACG|0|CFC|0|2025-06-15T16:00|12ª RODADA
6|Novorizontino x Cuiabá|NOV|3|CUI|0|2025-06-15T16:00|12ª RODADA
7|Criciúma x Amazonas|CRI|3|AMA|2|2025-06-15T20:30|12ª RODADA
8|Chapecoense x Ferroviária|CHA|2|AFE|1|2025-06-16T19:00|12ª RODADA
9|Volta Redonda x Avaí|VRE||AVA||2025-06-17T19:30|12ª RODADA
10|Botafogo-SP x Coritiba|BSP|0|CFC|0|2025-06-05T18:00|11ª RODADA
11|Novorizontino x Chapecoense|NOV|1|CHA|0|2025-06-06T19:00|11ª RODADA
12|Cuiabá x Paysandu|CUI|1|PAY|0|2025-06-06T21:35|11ª RODADA
13|América-MG x Ferroviária|AME|1|AFE|2|2025-06-07T16:00|11ª RODADA
14|Avaí x CRB|AVA|1|CRB|0|2025-06-07T20:30|11ª RODADA
15|Goiás x Volta Redonda|GOI|2|VRE|0|2025-06-08T16:00|11ª RODADA
16|Athletico-PR x Atlético-GO|CAP|0|ACG|1|2025-06-08T18:00|11ª RODADA
17|Remo x Operário-PR|REM|2|OPE|1|2025-06-08T19:00|11ª RODADA
18|Criciúma x Vila Nova|CRI|1|VNO|0|2025-06-09T19:00|11ª RODADA
19|Amazonas x Athletic Club|AMA|1|ATH|0|2025-06-09T19:30|11ª RODADA
20|Ferroviária x Botafogo-SP|AFE|1|BSP|1|2025-05-29T21:35|10ª RODADA
21|Vila Nova x Novorizontino|VNO|0|NOV|1|2025-05-30T19:00|10ª RODADA
22|Coritiba x Avaí|CFC|2|AVA|1|2025-05-31T16:00|10ª RODADA
23|Atlético-GO x Goiás|ACG|1|GOI|2|2025-05-31T18:30|10ª RODADA
24|Athletic Club x Cuiabá|ATH|0|CUI|2|2025-05-31T20:30|10ª RODADA
25|Operário-PR x Athletico-PR|OPE|2|CAP|2|2025-06-01T16:00|10ª RODADA
26|CRB x Remo|CRB|2|REM|0|2025-06-01T18:00|10ª RODADA
27|Volta Redonda x América-MG|VRE|1|AME|0|2025-06-01T20:30|10ª RODADA
28|Chapecoense x Amazonas|CHA|4|AMA|0|2025-06-02T19:00|10ª RODADA
29|Paysandu x Criciúma|PAY|0|CRI|1|2025-06-02T21:00|10ª RODADA
30|Goiás x Ferroviária|GOI|2|AFE|0|2025-05-23T21:35|9ª RODADA
31|Athletico-PR x Athletic Club|CAP|1|ATH|0|2025-05-24T16:00|9ª RODADA
32|Remo x Volta Redonda|REM|1|VRE|1|2025-05-24T18:00|9ª RODADA
33|Avaí x Chapecoense|AVA|2|CHA|1|2025-05-24T18:30|9ª RODADA
34|Novorizontino x Paysandu|NOV|3|PAY|1|2025-05-25T16:00|9ª RODADA
35|Amazonas x Operário-PR|AMA|2|OPE|0|2025-05-25T18:30|9ª RODADA
36|Criciúma x Coritiba|CRI|0|CFC|1|2025-05-26T19:00|9ª RODADA
37|Botafogo-SP x CRB|BSP|2|CRB|1|2025-05-26T20:00|9ª RODADA
38|Cuiabá x Vila Nova|CUI|1|VNO|0|2025-05-26T21:00|9ª RODADA
39|América-MG x Atlético-GO|AME|2|ACG|1|2025-05-27T19:30|9ª RODADA
40|Ferroviária x Avaí|AFE|1|AVA|1|2025-05-15T21:35|8ª RODADA
41|Chapecoense x Cuiabá|CHA|2|CUI|1|2025-05-16T19:00|8ª RODADA
42|Operário-PR x Botafogo-SP|OPE|3|BSP|0|2025-05-17T16:00|8ª RODADA
43|Vila Nova x Athletico-PR|VNO|2|CAP|1|2025-05-17T18:30|8ª RODADA
44|Athletic Club x Novorizontino|ATH|0|NOV|2|2025-05-17T20:30|8ª RODADA
45|Atlético-GO x Remo|ACG|1|REM|1|2025-05-18T16:00|8ª RODADA
46|CRB x Criciúma|CRB|1|CRI|0|2025-05-18T16:00|8ª RODADA
47|Paysandu x Goiás|PAY|0|GOI|0|2025-05-18T18:30|8ª RODADA
48|Volta Redonda x Amazonas|VRE|1|AMA|1|2025-05-19T19:00|8ª RODADA
49|Coritiba x América-MG|CFC|1|AME|0|2025-05-19T21:35|8ª RODADA
50|Athletico-PR x Chapecoense|CAP|1|CHA|1|2025-05-08T21:35|7ª RODADA
51|Avaí x Atlético-GO|AVA|0|ACG|0|2025-05-10T16:00|7ª RODADA
52|Goiás x Coritiba|GOI|1|CFC|0|2025-05-10T18:30|7ª RODADA
53|Criciúma x Volta Redonda|CRI|0|VRE|0|2025-05-11T16:00|7ª RODADA
54|Cuiabá x Operário-PR|CUI|2|OPE|3|2025-05-11T18:30|7ª RODADA
55|Novorizontino x Ferroviária|NOV|2|AFE|2|2025-05-11T18:30|7ª RODADA
56|Botafogo-SP x Athletic Club|BSP|0|ATH|3|2025-05-12T19:00|7ª RODADA
57|Amazonas x CRB|AMA|1|CRB|1|2025-05-12T21:00|7ª RODADA
58|Remo x Vila Nova|REM|2|VNO|0|2025-05-14T19:00|7ª RODADA
59|América-MG x Paysandu|AME|2|PAY|2|2025-05-14T19:30|7ª RODADA
60|Ferroviária x Coritiba|AFE|2|CFC|1|2025-05-02T21:35|6ª RODADA
61|Remo x Amazonas|REM|1|AMA|0|2025-05-03T16:00|6ª RODADA
62|Volta Redonda x Paysandu|VRE|1|PAY|0|2025-05-03T20:30|6ª RODADA
63|Atlético-GO x Novorizontino|ACG|1|NOV|0|2025-05-04T16:00|6ª RODADA
64|Athletico-PR x Botafogo-SP|CAP|1|BSP|4|2025-05-04T18:30|6ª RODADA
