,partida,mandante,placar_mandante,visitante,placar_visitante,Rodada
0,Flamengo x São Paulo,FLA,,SAO,,13ª RODADA
1,Vasco x Botafogo,VAS,,BOT,,13ª RODADA
2,Corinthians x Bragantino,COR,,RBB,,13ª RODADA
3,Santos x Palmeiras,SAN,,PAL,,13ª RODADA
4,Mirassol x Fluminense,MIR,,FLU,,13ª RODADA
5,Cruzeiro x Grêmio,CRU,,GRE,,13ª RODADA
6,Internacional x Vitória,INT,,VIT,,13ª RODADA
7,Bahia x Atlético-MG,BAH,,CAM,,13ª RODADA
8,Fortaleza x Ceará,FOR,,CEA,,13ª RODADA
9,Juventude x Sport,JUV,,SPT,,13ª RODADA
10,Bragantino x Bahia,RBB,0,BAH,3,12ª RODADA
11,Vitória x Cruzeiro,VIT,0,CRU,0,12ª RODADA
12,Fortaleza x Santos,FOR,2,SAN,3,12ª RODADA
13,Grêmio x Corinthians,GRE,1,COR,1,12ª RODADA
14,São Paulo x Vasco,SAO,1,VAS,3,12ª RODADA
15,Atlético-MG x Internacional,CAM,2,INT,0,12ª RODADA
16,Fluminense x Ceará,FLU,,CEA,,12ª RODADA
17,Botafogo x Mirassol,BOT,,MIR,,12ª RODADA
18,Palmeiras x Juventude,PAL,,JUV,,12ª RODADA
19,Sport x Flamengo,SPT,,FLA,,12ª RODADA
20,Bahia x São Paulo,BAH,2,SAO,1,11ª RODADA
21,Vasco x Bragantino,VAS,0,RBB,2,11ª RODADA
22,Mirassol x Sport,MIR,1,SPT,0,11ª RODADA
23,Santos x Botafogo,SAN,0,BOT,1,11ª RODADA
24,Juventude x Grêmio,JUV,0,GRE,2,11ª RODADA
25,Flamengo x Fortaleza,FLA,5,FOR,0,11ª RODADA
26,Corinthians x Vitória,COR,0,VIT,0,11ª RODADA
27,Ceará x Atlético-MG,CEA,0,CAM,1,11ª RODADA
28,Cruzeiro x Palmeiras,CRU,2,PAL,1,11ª RODADA
29,Internacional x Fluminense,INT,0,FLU,2,11ª RODADA
30,Fluminense x Vasco,FLU,2,VAS,1,10ª RODADA
31,São Paulo x Mirassol,SAO,0,MIR,2,10ª RODADA
32,Atlético-MG x Corinthians,CAM,0,COR,0,10ª RODADA
33,Grêmio x Bahia,GRE,1,BAH,0,10ª RODADA
34,Palmeiras x Flamengo,PAL,0,FLA,2,10ª RODADA
35,Sport x Internacional,SPT,1,INT,1,10ª RODADA
36,Vitória x Santos,VIT,0,SAN,1,10ª RODADA
37,Fortaleza x Cruzeiro,FOR,0,CRU,2,10ª RODADA
38,Bragantino x Juventude,RBB,1,JUV,0,10ª RODADA
